LINE,TorqStop P/N,Description,Price,Year,Make,Caliper Model,Vehicle Type,Application,Pad Shape,Brake Chamber Mounting Angle,Bracket Mounting Type,Position,ADJUSTMENT DESIGN,PAD RETAINER STYLE,# OF BOLT HOLES IN BRACKET,BOLT HOLE SIZE,BOLT HOLE SPACING,Caliper Color,Caliper Finish,Hardware Included,Pads included,IMAGE 1 #,IMAGE 2 #,IMAGE 3 #,Availability Status,UPC Code,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS /  Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
1,CAB001L,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X,Truck,Freightliner® Kenworth® Mack® Navistar® Peterbilt® Volvo®,D1369,12 Deg.,Axial,(A) Right,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M20*2.5",266/290/378/400,Black,Powder Coat,Yes,No,,,,Active,691303101862,67.24,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
2,CAB001R,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X,Truck,Freightliner® Kenworth® Mack® Navistar® Peterbilt® Volvo®,D1369,12 Deg.,Axial,(B) Left,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M20*2.5",266/290/378/400,Black,Powder Coat,Yes,No,,,,Active,691303101879,67.24,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
3,CRB001L,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X,Truck,Freightliner® Western Star®,D1369,12 Deg.,Vertical (Radial),(A) Right,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M16*2",266/390/310,Black,Powder Coat,Yes,No,,,,Active,691303101886,72.3,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
4,CRB001R,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X,Truck,Freightliner® Western Star®,D1369,12 Deg.,Vertical (Radial),(B) Left,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M16*2",266/390/310,Black,Powder Coat,Yes,No,,,,Active,691303101893,72.3,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
5,CAB002L,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X,Trailer,All Trailers 2007 - 2018,D1369,0 Deg.,Axial,(A) Right,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M20*2.5",266/212/338/359,Black,Powder Coat,Yes,No,,,,Active,691303101909,68.78,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
6,CAB002R,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X,Trailer,All Trailers 2007 - 2018,D1369,0 Deg.,Axial,(B) Left,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M20*2.5",266/212/338/359,Black,Powder Coat,Yes,No,,,,Active,691303101916,68.78,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
7,CAB003L,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X-LT,Trailer,All Trailers 2019 - Current,D1369*,0 Deg.,Axial,(A) Right,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M20*2.5",266/212/338/358,Black,Powder Coat,Yes,No,,,,Active,691303101923,61.06,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
8,CAB003R,New Air Disc Brake caliper assembly with carrier,0,2022,Bendix,ADB22X-LT,Trailer,All Trailers 2019 - Current,D1369*,0 Deg.,Axial,(B) Left,Two Tappets,Flat Bar  with Clevis,8,"2-M16*1.5
6-M20*2.5",266/212/338/358,Black,Powder Coat,Yes,No,,,,Active,691303101930,61.06,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
9,CAB004R,New Air Disc Brake caliper assembly with carrier,0,2022,Knorr,SK7,Trailer,SAF Holland 2009-2017,D1369,0 Deg.,Axial,Right,Two Tappets,Flat Bar  with Clevis,6,"2-M16*1.5
4-M18*1.5",266/216/316,Black,Powder Coat,Yes,No,,,,Active,691303101947,74.5,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
10,CAB004L,New Air Disc Brake caliper assembly with carrier,0,2022,Knorr,SK7,Trailer,SAF Holland 2009-2017,D1369,0 Deg.,Axial,Left,Two Tappets,Flat Bar  with Clevis,6,"2-M16*1.5
4-M18*1.5",266/216/316,Black,Powder Coat,Yes,No,,,,Active,691303101954,74.5,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
