TorqStop P/N,DESCRIPTION,Price,Year,Brake Type,# OF DIAPHRAGMS,PUSHROD TYPE,Pushrod Thread Size,PORT SHAPE,STROKE (in),PORT THREAD,FULL STROKE in.,FULL STROKE mm,NOTES,Image 1,Availability Status,UPC Code,ItemWeight (lb),ItemLength (in),ItemWidth (in),ItemHeight (in),Items per Case,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items Per Pallet,Minimum Order QTY,Country of Origin,HTS Code,VMRS Code,Warranty 
TST14,"Type 14"" Diaphragm Service Chamber",0,2022,Air Disc,1,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,7.06,6.1,6.7,7.6,2,17.42,14.96,9.44,8.66,40,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST16,"Type 16"" Diaphragm Service Chamber",0,2022,Air Disc,1,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,7.34,5.5,6.7,7.6,2,17.98,14.96,9.44,8.66,40,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST18,"Type 18"" Diaphragm Service Chamber",0,2022,Air Disc,1,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,9.46,6.3,7.1,8.1,2,22.22,15.75,9.84,8.86,40,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST20,"Type 20"" Diaphragm Service Chamber",0,2022,Air Disc,1,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,9.24,6.1,7.1,8.1,2,21.78,15.75,9.84,8.86,40,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST24,"Type 24"" Diaphragm Service Chamber",0,2022,Air Disc,1,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,9.5,6.2,7.5,8.5,2,22.3,15.75,9.84,8.86,40,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST1624,16/24 Double Diaphragm  Spring Brake,0,2022,Air Disc,2,"Rounded, no threads",N/A,N/A,Std.,,,,,,Active,6.91303E+11,16.6,14.5,8.07,7.48,2,36.5,23.6,10.23,9.25,32,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST1824,18/24 Double Diaphragm  Spring Brake,0,2022,Air Disc,2,"Rounded, no threads",N/A,N/A,Std.,,,,,,Active,6.91303E+11,18.2,15.1,8.26,7.48,2,39.7,23.6,10.23,9.25,32,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST2024,20/24 Double Diaphragm  Spring Brake,0,2022,Air Disc,2,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,18.1,15.1,8.26,7.48,2,39.5,23.6,10.23,9.25,32,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST2224,22/24 Double Diaphragm  Spring Brake,0,2022,Air Disc,2,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,15.88,14.9,7.28,,,,,,,,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST2424,24/24 Double Diaphragm  Spring Brake,0,2022,Air Disc,2,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,19.1,15.1,8.46,7.48,2,41.5,23.6,10.23,9.25,32,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
TST2430,24/30 Double Diaphragm  Spring Brake,0,2022,Air Disc,2,"Rounded, no threads",N/A,N/A,"2.5""",,,,,,Active,6.91303E+11,18.13,14.9,8.07,,,,,,,,50,CN,8412.31.0080,013-004-027,12 Months / Unlimited
