TorqStop P/N,Description,Price,Year,Caliper,Image 1,Availability Status,UPC Code,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,Items Per Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
KB001,"Guide pin replacement Kit for ADB22x, ADB22xLT, SK7 caliper",0,2022,"ADB22x, LT, SK7, ST7",,Active,6.91303E+11,3.31,10.63,10.63,8.3,4,1,350,CN,,,12 Months / Unlimited
KB002,"Tappet and Boot Kit for ADB22x, ADB22xLT, SK7 caliper",0,2022,"ADB22x, LT, SK7, ST7",,Active,6.91303E+11,1.54,10.63,10.63,8.3,10,1,350,CN,,,12 Months / Unlimited
KB003,"Kit of 10 shear adapters for ADB22x, ADB22xLT, SK7 caliper",0,2022,"ADB22x, LT, SK7, ST8",,Active,6.91303E+11,0.15,10.63,10.63,8.3,50,1,350,CN,,,12 Months / Unlimited
KB004,"10 rubber caps for ADB22x, ADB22xLT, SK7 caliper",0,2022,"ADB22x, LT, SK7, ST7",,Active,6.91303E+11,0.66,10.63,10.63,8.3,50,1,350,CN,,,12 Months / Unlimited
KM001,"Guide pin and boot kit for EX225L2, H2, H3 caliper",0,2022,"EX225 L2, H2, H3",,Active,6.91303E+11,4.32,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KW001,Guide pin and boot kit for PAN 17 caliper,0,2022,WABCO PAN 17,,Active,6.91303E+11,4.4,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KW002,"Guide pin and boot kit for PAN 19-1, PAN 22-1 caliper",0,2022,"WABCO PAN 19-1, 22-1",,Active,6.91303E+11,4.4,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KW003,Guide pin and boot kit for Maxx22T and MaxxUS calipers,0,2022,"WABCO Maxx22T, MaxxUS",,Active,6.91303E+11,4.4,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KC001,"Clevis Assembly 1/2"" rod. 1/2""Pin",0,2022,S-CAM,,Active,,,,,,,1,,CN,,,12 Months / Unlimited
KC002,"Clevis Assembly 5/8"" rod. 1/2""Pin",0,2022,S-CAM,,Active,,,,,,,1,,CN,,,12 Months / Unlimited
KC003,"Clevis Assembly 5/8"" rod. 5/8""Pin",0,2022,S-CAM,,Active,,,,,,,1,,CN,,,12 Months / Unlimited
KC004,"Clevis Pin 1/2"" X 1-3/4""",0,2022,S-CAM,,Active,,,,,,,1,,CN,,,12 Months / Unlimited
KC005,"Clevis Pin 5/8"" X 1-3/4""",0,2022,S-CAM,,Active,,,,,,,1,,CN,,,12 Months / Unlimited
