Rank,TorqStop P/N,DESCRIPTION,Price,Year,FMSI No.,New or Relined,Hardware Included,Description,Brake Type,Coating,Friction Code,Drum Diameter,Shoe Width,# of Webs,Image 1 (Line Drawings),Image 2 (Hardware),Image 3                               (Hi-Res Photo - single shoe with edge code),Image 4                                 (Hi-res phote of set with hardware),Availability Status,UPC Code,Items Per case,Minimum Order QTY,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items Per Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
1,23K4707Q,"Meritor ""Q: Plus",0,2022,4707Q,NEW,Yes,2 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,,4707Q HDW.jpg,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
2,23K4515Q,"Meritor ""Q""",0,2022,4515Q,NEW,Yes,3 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,,4515Q HDW.jpg,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
3,23K4709ES2,Eaton ESII 2nd Generation,0,2022,4709ES2,NEW,Yes,4 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,,4709ES2 HDW.jpg,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
4,23K4702Q,"Meritor ""Q: Plus",0,2022,4702Q,NEW,Yes,5 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,2,,4702Q HDW.jpg,,,Active,,1,1,,,,,80,CN,8708.30.5040,013-002-012,12 Months / Unlimited
5,23K4718Q,"Meritor ""Q: Plus",0,2022,4718Q,NEW,Yes,6 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,8,2,,,,,Active,,1,1,,,,,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
6,23K1443E,"Eaton ""ES""",0,2022,1443E,NEW,Yes,7 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,,1443E HDW.jpg,,,Active,,1,1,,,,,80,CN,8708.30.5040,013-002-012,12 Months / Unlimited
7,23K4515X3,Fruehauf XEM 3,0,2022,4515X3,NEW,Yes,8 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,,4515X3 HDW.jpg,,,Active,,1,1,,,,,,CN,8708.30.5040,013-002-012,12 Months / Unlimited
8,23K4311E,Eaton ,0,2022,4311E,NEW,Yes,9 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,,4311E HDW.jpg,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
9,23K4711Q,"Meritor ""Q: Plus",0,2022,4711Q,NEW,Yes,10 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,8.625,2,,4711Q HDW.jpg,,,Active,,1,1,,,,,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
10,23K4726ES2,Eaton ESII 2nd Generation,0,2022,4726ES2,NEW,Yes,11 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,8.625,2,,4726ES2 HDW.jpg,,,Active,,1,1,,,,,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
11,23K4709E,Eaton ES 1st Generation,0,2022,4709E,NEW,Yes,12 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,,,,,Active,,1,1,,,,,,CN,8708.30.5040,013-002-012,12 Months / Unlimited
12,23K1308E,Eaton  ,0,2022,1308E,NEW,Yes,13 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,,1308E HDW.jpg,,,Active,,1,1,,,,,80,CN,8708.30.5040,013-002-012,12 Months / Unlimited
13,23K4715Q,"Meritor ""Q: Plus",0,2022,4715Q,NEW,Yes,14 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,6,2,,4715Q HDW.jpg,,,Active,,1,1,,,,,60,CN,8708.30.5040,013-002-012,12 Months / Unlimited
14,23K4720Q,"Meritor ""Q: Plus",0,2022,4720Q,NEW,Yes,15 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,,4720Q HDW.jpg,,,Active,,1,1,,,,,60,CN,8708.30.5040,013-002-012,12 Months / Unlimited
15,23K4719E2,Eaton ESII 2nd Generation,0,2022,4719E2,NEW,Yes,16 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,,4719ES2 HDW.jpg,,,Active,,1,1,,,,,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
16,23K4710Q,"Meritor ""Q: Plus",0,2022,4710Q,NEW,Yes,17 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,8.625,2,,4710Q HDW.jpg,,,Active,,1,1,,,,,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
17,23K4725ES2,Eaton ESII 2nd Generation,0,2022,4725ES2,NEW,Yes,18 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,6,2,,4725ES2 HDW.jpg,,,Active,,1,1,,,,,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
18,23K1308Q,"Meritor ""Q"" First Design",0,2022,1308Q,NEW,Yes,19 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,,1308Q HDW.jpg,,,Active,,1,1,,,,,80,CN,8708.30.5040,013-002-012,12 Months / Unlimited
19,23K4591DX,Dexter PQ Style (Open / closed),0,2022,4591DX,NEW,Yes,20 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,12.25,7.5,2,,4591DX HDW.jpg,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
20,23K4551Q,"Meritor ""Q""",0,2022,4551Q,NEW,Yes,21 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,8.625,2,,4551Q HDW.jpg,,,Active,,1,1,,,,,40,CN,8708.30.5040,013-002-012,12 Months / Unlimited
21,23K4703Q,"Meritor ""Q: Plus",0,2022,4703Q,NEW,Yes,22 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,5,2,,4703Q HDW.jpg,,,Active,,1,1,,,,,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
22,23K4692FC2,"Dana Spicer ""Fast Change"" II (Open / Open)",0,2022,4692FC2,NEW,Yes,23 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,12.25,7.5,2,,4692FC2 HDW.jpg,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
23,23K4692QU,Dana Spicer FC with Spring Notch (Open / Open),0,2022,4692QU,NEW,Yes,24 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,12.25,7.5,2,,4692QU HDW.jpg,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
24,23K4591SF,Dexter (closed / closed),0,2022,4591SF,NEW,Yes,25 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,12.25,7.5,2,,,,,Active,,1,1,,,,,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
25,23K4524Q,"Meritor ""Q""",0,2022,4524Q,NEW,Yes,26 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,,4524Q HDW.jpg,,,Active,,1,1,,,,,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
27,23K1308P,"Meritor ""T""",0,2022,1308P,NEW,Yes,27 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,,1308P HDW.jpg,,,Active,,1,1,,,,,,CN,8708.30.5040,013-002-012,12 Months / Unlimited
28,23K4524QM,"Meritor ""Q"" with Relocated Spring Hole",0,2022,4524QM,NEW,Yes,28 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,,4524QM HDW.jpg,,,Active,,1,1,,,,,,CN,8708.30.5040,013-002-012,12 Months / Unlimited
30,23K4514Q,"Meritor ""Q""",0,2022,4514Q,NEW,Yes,29 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,6,2,,4514Q HDW.jpg,,,Active,,1,1,,,,,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
