Order,TorqStop P/N,Vendor P/N,Description,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,Make,Caliper Model, X REF NO.,Vehicle Type,Application,Pad Shape,Brake Chamber Mounting Angle,Bracket Mounting Type,Position,ADJUSTMENT DESIGN,PAD RETAINER STYLE,# OF BOLT HOLES IN BRACKET,BOLT HOLE SIZE,BOLT HOLE SPACING,Caliper Color,Caliper Finish,Hardware Included,Pads included,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS /  Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
1,CAB001L,TK081143,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X,"K081143 K109962X, K097851SC, K147429X",Truck,Freightliner® Kenworth® Mack® Navistar® Peterbilt® Volvo®,D1369,12 Deg.,Axial,(A) Right,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M20*2.5,266/290/378/400,Black,Powder Coat,Yes,No,CAB001L_01_FRO.jpg,CAB001L_02_TOP.jpg,CAB001L_03_BAC.jpg,CAB001L_04_ANG.jpg,CAB001L_05_BOT.jpg,CAB001L_06_PAC.jpg,Active,691303101862,691303101862,10691303101869,67.24,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
2,CAB001R,TK081142,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X,"K081142, K109961X, K097850SC, K147430X",Truck,Freightliner® Kenworth® Mack® Navistar® Peterbilt® Volvo®,D1369,12 Deg.,Axial,(B) Left,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M20*2.5,266/290/378/400,Black,Powder Coat,Yes,No,CAB001R_01_FRO.jpg,CAB001R_02_TOP.jpg,CAB001R_03_BAC.jpg,CAB001R_04_ANG.jpg,CAB001R_05_BOT.jpg,CAB001R_06_PAC.jpg,Active,691303101879,691303101879,10691303101876,67.24,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
5,CAB002L,TK802985,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X,K802984 K113887X ,Trailer,All Trailers 2007 - 2018,D1369,0 Deg.,Axial,(A) Right,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M20*2.5,266/212/338/359,Black,Powder Coat,Yes,No,CAB002L_01_FRO.jpg,CAB002L_02_TOP.jpg,CAB002L_03_BAC.jpg,CAB002L_04_ANG.jpg,CAB002L_05_BOT.jpg,CAB002L_06_PAC.jpg,Active,691303101909,691303101909,10691303101906,68.78,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
6,CAB002R,TK802984,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X,K802985 K113888X,Trailer,All Trailers 2007 - 2018,D1369,0 Deg.,Axial,(B) Left,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M20*2.5,266/212/338/359,Black,Powder Coat,Yes,No,CAB002R_01_FRO.jpg,CAB002R_02_TOP.jpg,CAB002R_03_BAC.jpg,CAB002R_04_ANG.jpg,CAB002R_05_BOT.jpg,CAB002R_06_PAC.jpg,Active,691303101916,691303101916,10691303101913,68.78,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
7,CAB003L,TK149715,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X-LT,K802984 K113887X K149714SC K165794X,Trailer,All Trailers 2019 - Current,D1369*,0 Deg.,Axial,(A) Right,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M20*2.5,266/212/338/358,Black,Powder Coat,Yes,No,CAB003L_01_FRO.jpg,CAB003L_02_TOP.jpg,CAB003L_03_BAC.jpg,CAB003L_04_ANG.jpg,CAB003L_05_BOT.jpg,CAB003L_06_PAC.jpg,Active,691303101923,691303101923,10691303101920,61.06,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
8,CAB003R,TK149714,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X-LT,K802985 K113888X K149715SC K165795X,Trailer,All Trailers 2019 - Current,D1369*,0 Deg.,Axial,(B) Left,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M20*2.5,266/212/338/358,Black,Powder Coat,Yes,No,CAB003R_01_FRO.jpg,CAB003R_02_TOP.jpg,CAB003R_03_BAC.jpg,CAB003R_04_ANG.jpg,CAB003R_05_BOT.jpg,CAB003R_06_PAC.jpg,Active,691303101930,691303101930,10691303101937,61.06,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
10,CAB004L,TK12634,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Knorr,SK7,5400101200 / 03080006001Z /  K012634,Trailer,SAF Holland 2009-2017,D1369,0 Deg.,Axial,Left,Two Tappets,Flat Bar  with Clevis,6,2-M16*1.5 4-M18*1.5,266/216/316,Black,Powder Coat,Yes,No,CAB004L_01_FRO.jpg,CAB004L_02_TOP.jpg,CAB004L_03_BAC.jpg,CAB004L_04_ANG.jpg,CAB004L_05_BOT.jpg,CAB004L_06_PAC.jpg,Active,691303101954,691303101954,10691303101951,74.5,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
9,CAB004R,TK12633,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Knorr,SK7,5400101100 / 03080005901Z / K012633 / K132662X50,Trailer,SAF Holland 2009-2017,D1369,0 Deg.,Axial,Right,Two Tappets,Flat Bar  with Clevis,6,2-M16*1.5 4-M18*1.5,266/216/316,Black,Powder Coat,Yes,No,CAB004R_01_FRO.jpg,CAB004R_02_TOP.jpg,CAB004R_03_BAC.jpg,CAB004R_04_ANG.jpg,CAB004R_05_BOT.jpg,CAB004R_06_PAC.jpg,Active,691303101947,691303101947,10691303101944,74.5,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
12,CAB005L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Knorr,SN-7,"K003781, SN7185RC",Coach,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1203,12 Deg.,Axial,Left,Two Tappets,Flat Bar  with Clevis,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,,,,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
11,CAB005R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Knorr,SN-7,"K003782, SN7195RC",Coach,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1203,12 Deg.,Axial,Right,Two Tappets,Flat Bar  with Clevis,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,,,,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
22,CAM001L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L202R,Trailer,Hendrickson Axles,D1370,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102074,691303102074,10691303102071,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
21,CAM001R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L201R,Trailer,Hendrickson Axles,D1370,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102067,691303102067,10691303102064,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
