TorqStop P/N,Caliper,Description,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,Image 1,Image 2,Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,Items Per Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
KB001,"ADB22x, LT, SK7, ST7","Guide pin replacement Kit for ADB22x, ADB22xLT, SK7 caliper",Air Disc Brake Caliper Pin Slide,66581,JYFH,JYFK,MHW,MHW,KB001_01_FRO.jpg,KB001_02_PAC.jpg,Active,691303102425,691303102425,10691303102422,3.31,10.63,10.63,8.3,4,1,350,CN,,,12 Months / Unlimited
KB002,"ADB22x, LT, SK7, ST7","Tappet and Boot Kit for ADB22x, ADB22xLT, SK7 caliper",Tappet Boot Kit,67332,JYFH,JYFK,MHW,MHW,KB002_01_FRO.jpg,KB002_02_PAC.jpg,Active,691303102432,691303102432,10691303102439,1.54,10.63,10.63,8.3,10,1,350,CN,,,12 Months / Unlimited
KB003,"ADB22x, LT, SK7, ST8","Kit of 10 shear adapters for ADB22x, ADB22xLT, SK7 caliper",Air Disc Brake Caliper Shear Adapter,38931,JYFH,JYFK,MHW,MHW,KB003_01_FRO.jpg,KB003_02_PAC.jpg,Active,691303102449,691303102449,10691303102446,0.15,10.63,10.63,8.3,50,1,350,CN,,,12 Months / Unlimited
KB004,"ADB22x, LT, SK7, ST7","10 rubber caps for ADB22x, ADB22xLT, SK7 caliper 802495",Air Brake Disc Brake Caliper Adjustment Cap,61342,JYFH,JYFK,MHW,MHW,KB004_01_FRO.jpg,KB004_02_PAC.jpg,Active,691303102456,691303102456,10691303102453,0.66,10.63,10.63,8.3,50,1,350,CN,,,12 Months / Unlimited
KM001,"EX225 L2, H2, H3","Guide pin and boot kit for EX225L2, H2, H3 caliper",Brake Clevis,49565,JYFH,JYFK,MHW,MHW,Clevis2.jpg,,Active,691303102470,691303102470,10691303102477,4.32,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KW001,WABCO PAN 17,Guide pin and boot kit for PAN 17 caliper,Brake Clevis,49565,JYFH,JYFK,MHW,MHW,Clevis2.jpg,,Active,691303102487,691303102487,10691303102484,4.4,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KW002,"WABCO PAN 19-1, 22-1","Guide pin and boot kit for PAN 19-1, PAN 22-1 caliper",Brake Clevis,49565,JYFH,JYFK,MHW,MHW,Clevis2.jpg,,Active,691303102494,691303102494,10691303102491,4.4,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KW003,"WABCO Maxx22T, MaxxUS",Guide pin and boot kit for Maxx22T and MaxxUS calipers,Clevis Pin,15094,JYFH,JYFK,MHW,MHW,Clevis1.jpg,,Active,691303102500,691303102500,10691303102507,4.4,10.63,10.63,8.3,5,1,350,CN,,,12 Months / Unlimited
KC001,S-CAM,"Clevis Assembly 1/2"" rod. 1/2""Pin",Clevis Pin,15094,JYFH,JYFK,MHW,MHW,Clevis1.jpg,,Active,691303102678,691303102678,10691303102675,,,,,,1,,CN,,,12 Months / Unlimited
KC002,S-CAM,"Clevis Assembly 5/8"" rod. 1/2""Pin",Air Disc Brake Caliper Pin Slide,66581,JYFH,JYFK,MHW,MHW,KM001_01_FRO.jpg,KM001_02_PAC.jpg,Active,691303102685,691303102685,10691303102682,,,,,,1,,CN,,,12 Months / Unlimited
KC003,S-CAM,"Clevis Assembly 5/8"" rod. 5/8""Pin",Air Disc Brake Caliper Pin Slide,66581,JYFH,JYFK,MHW,MHW,KW001_01_FRO.jpg,KW001_02_PAC.jpg,Active,691303102692,691303102692,10691303102699,,,,,,1,,CN,,,12 Months / Unlimited
KC004,S-CAM,"Clevis Pin 1/2"" X 1-3/4""",Air Disc Brake Caliper Pin Slide,66581,JYFH,JYFK,MHW,MHW,KW002_01_FRO.jpg,KW002_02_PAC.jpg,Active,691303102708,691303102708,10691303102705,,,,,,1,,CN,,,12 Months / Unlimited
KC005,S-CAM,"Clevis Pin 5/8"" X 1-3/4""",Air Disc Brake Caliper Pin Slide,66581,JYFH,JYFK,MHW,MHW,KW003_01_FRO.jpg,KW003_02_PAC.jpg,Active,691303102715,691303102715,10691303102712,,,,,,1,,CN,,,12 Months / Unlimited
