TorqStop P/N,Description,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,MAKE,CALIPER MODEL,FMSI Steel,FULL FMSI Number,WVA #,GAWR,Brake Pad Compound,Copper-Free Code,Image # (Pads with Hardware),Image # (Dimensional Drawing),Installation Hardware Included,Noise-reducing Shim Included,Wear Sensor Type,Noise-Reducing Chamfers,Friction Slotted / # of Slots,Anti-Rattle Clip Included,Integrally Molded,Rust Resistant Coating,Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS/ Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
23D1203,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Knorr Bremse,"SB7, SN7",D1203,D1203-8323,29087,23k,Low Metallic copper free,N,D1203.jpg,D1203 DC016.00 29087 Line Drawing.pdf,Yes,No,N/A,No,1,N,Y,Yes,Active,691303100988,0691303100988,10691303100985,26.60,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1310,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Meritor,Elsa 2 ,D1310,D1310-8425,29131,23k,Low Metallic copper free,N,D1310.jpg,D1310 DC030.00 29131 Line Drawing.pdf,Yes,No,N/A,No,2,N,Y,Yes,Active,691303101060,0691303101060,10691303101067,26.50,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1311,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Meritor,EX225 H2,D1311,D1311-8426,29187,29k,Low Metallic copper free,N,D1311.jpg,D1311 DC085.00 Line Drawing.pdf,Yes,No,N/A,No,1,N,Y,Yes,Active,691303100957,0691303100957,10691303100954,25.00,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1312,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Meritor,D-Lisa,D1312,D1312-8427,29090,23k,Low Metallic copper free,N,D1312.jpg,D1312 DC018.00 29090 Line Drawing.pdf,Yes,No,N/A,Yes,2,N,Y,Yes,Active,691303101046,0691303101046,10691303101043,25.10,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1323,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Meritor,"EX225, H3 Transit",D1323,D1323-8435,29188,23k,Low Metallic copper free,N,D1323.jpg,D1323 DC087.00 Line Drawing.pdf,Yes,No,N/A,No,1,N,Y,Yes,Active,691303101039,0691303101039,10691303101036,25.90,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1369,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Bendix / Knorr,"ADB22x, ADB22XLT, SK-7",D1369,D13698479,29158,23k,Low Metallic copper free,N,D1369.jpg,D1369 DC042.00 29158 Line Drawing.pdf,Yes,No,N/A,No,1,N,Y,Yes,Active,691303100933,0691303100933,10691303100930,21.60,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1370,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Meritor,EX225 L Series,D1370,D1370-8470,29189,23k,Low Metallic copper free,N,D1370.jpg,D1370 DC088.00 Line Drawing.pdf,Yes,No,N/A,No,1,N,Y,Yes,Active,691303100964,0691303100964,10691303100961,21.70,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1407,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Meritor,D-Elsa 1,D1407,D1407-8515,29030,23k,Low Metallic copper free,N,D1407.jpg,D1407 DC005.00 29030 Line Drawing.pdf,Yes,No,N/A,No,2,N,Y,Yes,Active,691303101077,0691303101077,10691303101074,24.00,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1438,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Wabco,Pan 19-1,D1438,D1438-8556,29159,23k,Low Metallic copper free,N,D1438.jpg,D1438 DC043.00 29159 Line Drawing.pdf,Yes,No,N/A,No,1,N,Y,Yes,Active,691303101084,0691303101084,10691303101081,19.40,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1518,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Wabco,Pan 17,D1518,D1518-8727,29088,23k,Low Metallic copper free,N,D1518.jpg,D1518 DC017.00 29088 Line Drawing.pdf,Yes,No,N/A,Yes,1,N,Y,Yes,Active,691303100995,0691303100995,10691303100992,12.90,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1560,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Meritor,Volvo 9700,D1560,D1560-8771,29125,23k,Low Metallic copper free,N,D1560.jpg,D1560 DC027.00 29125 Line Drawing.pdf,Yes,No,N/A,Yes,1,N,Y,Yes,Active,691303101107,0691303101107,10691303101104,25.20,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
23D1583,Air Disc Brake Pads with Hardware,Disc Brake Pad Set,1684,JYFH,JYFK,P23,P23,Haldex,DB22 LT,D1583,D1583-8795,29175/ 29195,23k,Low Metallic copper free,N,D1583.jpg,D1583 DC071.00 29175 Line Drawing.pdf,Yes,No,N/A,No,1,N,Y,Yes,Active,691303101114,0691303101114,10691303101111,23.80,10.75,9.95,2.80,1,1,100,CN,8708.30.5040,013-013-003,12 Months / Unlimited
