Rank,TorqStop P/N,FMSI No.,DESCRIPTION,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,GAWR (LBS),New or Relined,Hardware Included,Description,Brake Type,Coating,Friction Code,Drum Diameter,Shoe Width,# of Webs,Image 1 (Line Drawings),Image 2 (Hardware),Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items Per case,Minimum Order QTY,Items Per Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
12,23K1308E,1308E,Eaton  ,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,13 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,23K1308E.jpg,1308E HDW.jpg,Active,691303101671,0691303101671,10691303101678,21.16,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
18,23K1308Q,1308Q,"Meritor ""Q"" First Design",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,19 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,23K1308Q.jpg,1308Q HDW.jpg,Active,691303101817,0691303101817,10691303101814,21.16,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
27,23K1308T,1308T,"Meritor ""T""",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,27 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,23K1308T.jpg,1308P HDW.jpg,Active,691303101732,0691303101732,10691303101739,21.16,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
6,23K1443E,1443E,"Eaton ""ES""",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,7 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,15,4,1,23K1443E.jpg,1443E HDW.jpg,Active,691303101619,0691303101619,10691303101616,22.13,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
8,23K4311E,4311E,Eaton ,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,9 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,23K4311E.jpg,4311E HDW.jpg,Active,691303101633,0691303101633,10691303101630,38.80,17.87,10.47,7.68,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
30,23K4514Q,4514Q,"Meritor ""Q""",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,29 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,6,2,23K4514Q.jpg,4514Q HDW.jpg,Active,691303101831,0691303101831,10691303101838,35.27,17.87,10.47,6.57,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
2,23K4515Q,4515Q,"Meritor ""Q""",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,3 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,23K4515Q.jpg,4515Q HDW.jpg,Active,691303101572,0691303101572,10691303101579,37.92,17.87,10.47,7.68,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
7,23K4515X3,4515X3,Fruehauf XEM 3,Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,8 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,7,2,23K4515X3.jpg,4515X3 HDW.jpg,Active,691303101626,0691303101626,10691303101623,37.92,17.87,10.47,7.68,1,1,50,CN,8708.30.5040,013-002-012,12 Months / Unlimited
25,23K4524Q,4524Q,"Meritor ""Q""",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,26 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,23K4524Q.jpg,4524Q HDW.jpg,Active,691303101800,0691303101800,10691303101807,32.19,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
28,23K4524QM,4524QM,"Meritor ""Q"" with Relocated Spring Hole",Drum Brake Shoe Kit,19418,JYFH,JYFK,S23,S23,23000,NEW,Yes,28 new lined shoes+1 set hardware packed in box,S-Cam,E-Coat,901.1,16.5,5,2,23K4524QM.jpg,4524QM HDW.jpg,Active,691303101824,0691303101824,10691303101821,32.19,17.87,10.47,5.59,1,1,70,CN,8708.30.5040,013-002-012,12 Months / Unlimited
